Insee (Synthese!Insee);An Obs;Cd Ref;Nb Obs
80688;2020;4525;81
80806;2006;4669;81
80713;2000;1958;81
80713;2022;534742;81
80333;1999;2767;81
80713;2015;4257;81
80713;2015;2563;80
80830;2017;534742;80
80806;2012;4187;80
80713;2022;4117;80
80713;2020;2517;79
80649;2019;116405;79
80688;2007;4582;79
80806;2005;4280;79
80688;2007;3764;79
80688;2012;534742;79
80713;2021;965;79
80713;2019;4308;79
80713;2021;2586;78
80713;2009;4257;78
80713;2013;4117;78
80688;2015;4582;78
80688;2014;534742;78
80600;2010;108345;78
80713;2022;2584;78
80713;2022;2543;78
80713;2019;530157;77
80830;2012;3429;77
80688;2005;3764;77
80830;2019;4001;77
80713;2022;2623;77
80713;2018;4151;77
80688;2016;3302;77
80830;2017;3424;77
80713;2013;4257;76
80713;2018;4001;76
80806;2012;4195;76
80688;2006;534742;76
80830;2013;534753;76
80333;2001;1972;76
80713;2021;4151;76
80713;2015;534742;76
80713;2019;1958;76
80713;2017;4280;75
80713;2018;3059;75
80713;2020;3070;75
80713;2015;814245;75
80713;2019;2586;75
80688;2016;4582;75
80688;2008;534742;75
80830;2015;4129;74
80830;2015;4582;74
80830;2014;4129;74
80808;2021;4117;74
80713;2012;3764;74
80713;2020;2440;74
80830;2018;4582;74
80713;1998;1958;74
80599;2019;3297;73
80713;2021;1958;73
80713;2019;3764;73
80222;2019;351;73
80713;2020;2741;73
80688;2008;4582;73
80806;2010;4669;73
80713;2016;4257;73
80333;1999;3106;73
80713;2020;3116;73
80830;2014;4582;73
80713;2020;2767;72
80830;2016;4001;72
80713;2018;4308;72
80713;2021;2741;72
80713;2000;3059;72
80713;2008;67422;72
80713;2008;4280;72
80830;2018;4583;72
80806;2008;4252;72
80713;2010;534742;72
80830;2013;4583;72
80830;2019;4129;72
80713;2011;4195;72
80713;2013;4187;72
80713;2020;3187;72
80806;2008;3696;71
80713;2017;3302;71
80462;2018;3297;71
80830;2013;4001;71
80688;2006;3764;71
80830;2019;3978;71
80806;2005;4023;71
80692;2019;3297;71
80649;2018;3302;71
80806;2013;4023;70
80713;2018;2741;70
80688;2008;3764;70
80713;2018;3967;70
80713;2018;1972;70
80806;2008;3764;70
80600;2009;2543;70
80688;2017;3764;70
80713;2020;3059;70
80688;2005;534742;69
80713;2019;3106;69
80713;2011;4187;69
80713;2012;534751;69
80713;2016;4117;69
80806;2008;4192;69
80806;2011;4023;69
80806;2010;4023;69
80713;2016;4280;69
80713;2008;4117;68
80688;2017;4582;68
80830;2018;4001;68
80713;2010;3764;68
80713;2017;4117;68
80806;2013;4195;68
80806;2012;4289;68
80713;2018;1998;68
80713;2022;2616;67
80228;2011;101223;67
80333;2001;2706;67
80688;2011;3764;67
80806;2012;4192;67
80713;1995;2767;67
80830;2017;3764;67
80713;2020;965;67
80713;2021;836203;67
80808;2021;3003;67
80713;1983;1973;67
80713;2016;4308;66
80333;1999;2440;66
80713;2000;2563;66
80713;2019;3967;66
80713;1997;2767;66
80713;2016;4151;66
80649;2011;107085;66
80713;2014;4280;66
80713;2021;530157;66
80713;2016;4001;66
80149;2016;4516;65
80688;2007;534742;65
80713;2015;2594;65
80713;2018;3106;65
80713;1998;3116;65
80806;2012;4280;65
80830;2015;4001;65
80486;2015;122329;65
80333;2001;1991;65
80713;1997;2563;65
80713;2021;1998;65
80688;2020;129000;64
80830;2012;3696;64
80713;2018;2563;64
80333;2001;974;64
80713;2017;2530;64
80830;2016;4129;64
80713;2022;3696;64
80688;2011;534742;64
80713;2010;69350;64
80830;2014;534753;64
80806;2017;4023;64
80713;2021;2623;64
80806;2007;4280;64
80806;2006;4257;64
80713;2011;4280;64
80713;2011;3764;63
80688;2010;534742;63
80713;2017;4308;63
80713;2015;3764;63
80713;2009;4195;63
80688;2008;4525;63
80600;2007;2543;63
80688;2018;3764;63
80713;2015;2530;63
80688;2010;3764;63
80713;2018;4503;63
80713;2019;2489;63
80806;2014;4192;63
80830;2015;534753;63
80713;1987;1973;63
80713;2022;814245;63
80713;2000;1966;62
80806;2018;4195;62
80830;2012;3764;62
80713;2015;4117;62
80600;2010;85486;62
80713;2019;4129;62
80688;2015;3764;62
80806;2010;4280;62
80713;2019;1952;62
80688;2013;534742;62
80486;2018;612513;62
80713;2022;2594;62
80688;2016;4525;62
80713;2018;3764;62
80713;2014;4117;62
80713;2022;3967;62
80713;2014;3302;62
80713;2018;530157;62
80713;2004;1966;62
80713;1998;1973;62
80713;2019;4187;61
80830;2013;4129;61
80688;2013;612513;61
80713;2020;2586;61
80713;2020;97434;61
80713;2022;3302;61
80713;1997;1998;61
80806;2014;4023;61
80806;2015;4187;61
80713;2017;4001;61
80713;2020;4280;61
80713;2007;534742;61
80486;2010;88949;61
80806;2016;4187;61
80713;2018;1952;61
80806;2011;4669;61
80830;2013;4582;60
80713;2017;4151;60
80713;2021;2563;60
80830;2016;4582;60
80713;1997;1972;60
80688;2009;534742;60
80228;2016;3302;60
80688;2009;3764;60
80713;2014;4195;60
80713;2004;4195;60
80713;2017;3764;60
80713;1998;2563;60
80692;1992;4669;60
80713;2019;1973;60
80222;2017;351;60
80806;2006;4023;59
80806;2002;4195;59
80713;2021;4001;59
80333;2000;2767;59
80806;2007;4192;59
80713;2020;1972;59
80600;2010;2543;59
80713;2008;4001;59
80149;2016;4503;59
80333;2001;3070;59
80830;2016;534753;59
80713;2000;2586;59
80713;2013;4001;59
80713;2000;1972;59
80830;2015;3941;59
80713;2015;3116;59
80713;2019;1991;59
80688;2013;4525;58
80806;2011;4117;58
80808;2021;3676;58
80600;2006;2543;58
80713;2009;4117;58
80688;2019;4582;58
80806;2019;126615;58
80713;1979;1973;58
80713;2009;4187;58
80713;2018;1973;58
80688;2020;137883;58
80713;1997;1973;58
80713;2010;534751;58
80713;2010;1966;58
80713;1991;1973;58
80713;2000;1991;58
80808;2021;3941;58
80713;2020;4564;58
80713;1998;1972;57
80688;2016;534742;57
80830;2015;3424;57
80713;2022;3293;57
80713;2015;4280;57
80713;2018;2586;57
80600;2009;4195;57
80830;2016;3967;57
