Insee (Pheno!Mois!Insee);Mois Obs;CD REF (pheno!mois!insee);Nb Donnees
80598;2;459325;1
80332;7;1598;2
80087;5;65109;1
80228;8;459325;1
80688;8;249202;1
80030;8;249202;1
80333;5;219833;1
80600;3;54451;2
80200;9;65882;2
80244;1;65145;1
80133;6;51613;1
80497;9;249151;1
80133;7;51710;1
80688;5;65141;1
80030;5;65109;2
80688;8;11197;1
80087;8;65877;4
80087;4;11165;3
80327;8;219741;1
80303;7;51786;1
80649;8;65344;6
80637;9;65891;2
80600;9;65344;1
80149;2;11136;1
80580;1;65878;2
80804;7;54279;1
80290;10;53754;1
80290;6;10977;1
80649;11;53741;3
80290;8;51786;2
80665;9;51677;1
80025;4;51647;1
80688;7;162884;7
80133;7;11136;2
80580;8;51703;1
80600;8;51508;2
80228;7;199863;1
80649;7;65636;1
80806;5;219831;3
80344;11;237850;1
80332;8;53754;2
80600;7;791731;11
80333;7;51619;4
80600;4;53595;1
80580;4;65145;1
80222;2;51331;1
80635;12;238329;1
80087;5;222268;1
80332;7;237912;1
80832;4;239523;1
80713;7;12302;5
80633;6;65322;4
80248;10;249746;1
80832;7;239523;1
80713;3;199863;2
80332;6;51813;1
80486;10;65740;1
80713;8;65278;17
80228;6;11173;1
80496;4;11202;1
80665;8;219799;1
80580;6;65227;2
80371;9;64177;1
80806;1;53668;14
80200;5;54417;2
80087;12;1563;1
80631;8;65278;3
80371;9;64247;1
80087;6;8428;1
80808;5;53595;2
80006;1;237938;1
80665;6;12008;1
80486;7;222280;1
80635;6;11165;1
80497;7;65877;1
80635;2;239134;2
80155;5;163029;1
80486;6;219799;2
80333;10;249204;2
80688;9;65131;1
80228;6;239133;1
80221;9;239111;2
80600;3;11152;2
80248;4;11157;1
80665;5;65161;1
80496;4;219833;1
80222;10;51784;1
80716;7;223152;1
80371;8;53754;2
80331;10;65636;1
80808;5;219833;4
80502;8;237926;1
80599;10;459325;1
80222;6;239133;1
80025;4;249198;1
80332;8;608364;2
80713;6;10949;1
80688;7;521613;12
80030;6;65278;1
80649;6;66088;2
80222;12;239133;1
80087;7;237404;1
80497;7;53595;1
80806;5;53741;4
80806;8;249823;5
80497;4;18820;1
80030;9;65882;2
80200;5;12106;2
80713;6;65199;13
80331;8;65774;1
80713;7;238489;1
80333;5;53747;2
80804;5;65131;1
80333;7;51508;3
80422;8;239111;1
80649;7;219831;1
80688;3;239054;2
80332;7;241502;1
80804;6;608364;1
80281;8;54052;1
80815;4;239128;1
80637;4;238387;1
80222;6;64260;1
80688;9;238090;1
80333;9;11168;1
80633;11;459325;1
80371;5;238460;1
80665;1;65155;2
80599;5;18820;3
80496;7;521494;1
80331;6;837869;1
80332;5;51610;2
80713;7;66088;1
80580;9;65344;5
80649;7;53724;2
80248;6;11136;1
80215;8;53759;1
80580;7;65155;2
80290;8;51847;2
80806;7;53973;1
80716;3;11136;2
80167;10;239134;1
80548;7;593263;1
80633;6;65300;4
80713;5;10958;1
80371;7;239133;2
80496;9;219831;1
80025;7;11157;1
80030;6;65265;2
80222;10;223080;2
80599;9;53741;1
80633;5;53595;2
80149;9;459325;3
80030;1;53741;1
80030;1;65141;1
80637;7;64194;2
80598;2;11145;1
80713;9;65322;8
80830;9;61678;1
80030;7;219799;1
80118;8;65115;2
80580;11;239133;1
80396;5;11152;1
80635;9;608364;2
80222;6;1559;1
80806;4;53595;2
80548;7;783840;1
80637;7;65877;2
80380;9;459325;1
80222;6;12252;2
80787;7;608364;1
80228;5;51677;1
80497;10;238233;1
80331;12;239128;1
80599;9;239131;1
80688;6;11152;1
80609;12;239134;1
80486;7;65184;4
80109;4;608364;2
80580;8;238329;1
80496;10;65219;1
80502;3;239128;1
80422;9;239133;2
80665;3;239112;1
80713;4;54451;9
80713;4;241502;1
80633;6;249385;1
80580;9;53595;1
80371;6;11585;1
80665;3;65861;2
80109;11;11136;1
80688;8;65219;2
80025;8;521494;1
80133;9;53741;1
80030;7;53595;2
80688;7;163008;6
80030;8;239111;1
80688;1;65344;1
80688;9;65344;6
80665;5;11575;2
80635;7;65109;5
80716;7;53747;2
80609;3;11157;1
80332;6;54537;1
80333;8;65451;1
80332;8;239134;1
80333;12;163012;2
80580;5;65192;2
80250;1;40716;1
80030;5;65145;1
80688;6;653281;1
80228;8;249158;1
80713;9;249822;1
80374;7;459325;1
80332;6;65473;1
80228;8;245161;1
80637;1;65155;1
80548;10;11165;3
80331;6;11136;1
80145;8;11202;1
80806;9;53724;1
80806;8;65165;2
80228;8;310959;1
80228;10;11165;1
80806;6;247135;4
80637;1;65300;1
80333;2;11168;1
80200;8;11165;2
80665;8;53724;1
80396;4;239111;1
80200;8;238326;1
80649;6;249828;1
80713;7;53700;8
80333;7;238320;2
80087;6;11165;1
80333;6;65219;1
80109;7;64260;1
80222;10;11165;7
80222;6;18820;1
80637;7;11152;1
80635;6;237404;1
80422;7;237938;1
80806;7;249288;3
80635;8;245161;1
80250;9;783840;1
80222;5;54724;5
80665;12;239054;2
80333;7;65199;14
80087;7;53668;2
80833;7;51786;1
80333;5;11136;1
80333;7;237910;6
80830;5;239134;1
80477;8;837869;1
80133;7;51786;1
80333;7;249151;3
80548;8;65889;1
80250;1;39302;1
80600;7;239134;1
80716;8;53741;1
80118;8;11133;1
80228;7;65165;2
80713;3;53759;2
80600;7;163387;5
80396;4;11202;1
80422;5;51710;1
80486;9;51677;1
80713;12;64201;12
80635;6;237980;1
80688;7;913804;1
80580;8;608405;2
80462;6;10949;1
80649;5;240343;1
80222;7;239111;1
80713;5;238090;1
80649;8;837869;2
80688;5;65910;1
80486;4;54451;3
80600;5;65415;3
80665;5;65131;1
80806;9;239111;1
80633;7;593263;3
80804;7;593263;1
80333;6;65278;6
80713;4;65899;3
80030;5;65141;1
80649;5;53741;5
80222;7;219742;4
80133;7;238132;1
80025;8;65891;1
80713;5;238233;2
80497;8;11133;2
80221;12;239134;1
80109;2;11136;1
80167;9;239133;3
80501;7;11165;1
80222;8;51784;1
80200;9;53770;1
80422;5;239117;1
80815;6;239131;1
80118;6;219833;2
80228;5;66121;2
80333;11;60939;1
80688;1;65227;1
80637;6;593263;1
80600;11;11168;4
80713;9;65300;5
80600;8;11133;1
80833;7;11585;1
80332;8;65891;1
80501;9;238479;1
80548;10;11131;1
80290;5;64135;1
80030;8;64248;1
80133;10;51784;1
80244;5;11133;1
80496;9;18829;1
80804;8;1571;1
80222;6;249202;1
80248;6;593263;1
80580;7;53595;1
80497;6;11585;1
80598;10;219831;1
80222;8;65278;2
80009;8;239117;1
80228;7;11145;2
80248;4;459325;2
80248;4;11165;3
80713;5;237814;1
80222;9;465040;1
80109;5;608364;2
80344;11;11202;2
80806;1;53604;1
80637;7;239111;2
80333;1;593042;2
80496;8;51658;1
80598;5;54342;1
80787;11;238028;2
80327;7;249204;1
80806;7;65446;1
80548;4;54451;1
80087;4;219831;1
80815;3;11168;1
80290;6;53759;1
80713;4;65262;2
80145;3;238233;1
80248;7;53595;2
80228;6;238479;1
80371;5;51508;1
80497;8;238479;1
80713;12;163019;2
80332;4;11157;1
80635;6;53668;1
80333;6;237061;1
80290;8;593263;2
80808;6;65740;1
80713;7;59568;1
80118;8;239111;1
80804;7;65774;1
80025;7;11197;1
80228;8;11165;3
80713;8;65451;8
80486;9;593263;1
80215;10;11133;2
80303;7;65219;1
80221;12;238329;1
80637;8;66157;4
80713;2;65899;2
80580;5;65376;2
80228;5;249196;1
80806;6;249200;1
80631;3;11136;1
80222;10;51619;3
80133;6;223080;1
80215;8;219831;2
80580;8;219741;1
80244;6;238358;1
80249;6;65262;1
80133;6;238320;1
80009;5;239111;1
80332;6;12176;1
80688;4;54279;1
80688;4;241138;1
80716;3;199863;1
80228;8;238397;1
80713;10;65889;1
80815;5;11165;1
80688;6;66077;2
80496;8;53973;1
80649;6;18829;1
80665;9;249639;1
80250;12;18820;1
80222;6;200478;1
80222;6;53595;4
80806;7;54537;2
80332;10;608364;2
80422;8;11173;1
80649;8;11165;1
80496;4;238350;1
80333;6;51637;1
80502;8;65891;1
80200;8;238385;1
80290;12;18820;1
80806;7;837869;4
80635;7;239111;1
80248;10;238460;1
80600;3;239117;1
80665;7;62188;4
80600;11;64135;1
80133;6;52148;1
80333;8;53747;4
80808;4;608364;3
80688;5;248375;1
80167;11;11202;1
80804;8;593263;1
80806;6;653286;1
80331;4;237051;3
80804;8;641941;1
80633;8;65473;1
80688;9;65473;2
80580;1;53754;1
80637;7;54468;2
80486;7;65300;2
80249;9;11136;3
80688;7;791731;8
80496;4;54451;3
80371;9;199863;1
80087;5;653281;3
80145;12;11202;1
80688;6;608364;1
80333;9;65636;1
80332;1;65322;1
80580;8;53754;1
80167;10;237938;1
80600;8;65891;1
80327;9;227386;1
80598;7;65199;1
80118;7;837869;2
80087;7;51703;2
80637;4;54417;2
80806;7;54854;3
80688;7;65109;9
80665;5;65101;1
80635;6;65278;1
80637;10;11165;3
80396;5;937893;1
80332;7;51658;2
80496;10;239112;1
80118;1;65473;1
80649;9;248853;1
80462;6;51710;1
80665;7;249823;1
80665;8;65440;3
80167;6;11157;1
80248;7;65440;1
80333;7;53391;9
80133;11;239134;1
80222;1;65109;1
80149;6;459325;2
80649;4;51331;1
80155;8;239111;1
80249;5;219833;2
80222;10;40654;1
80580;1;219741;3
80649;8;65109;2
80580;8;53724;2
80713;8;65109;22
80248;8;239134;1
80713;6;65227;1
80600;7;219831;1
80649;8;66194;3
80244;1;11152;1
80030;6;853999;1
80333;4;53595;11
80637;6;65131;5
80477;10;11131;1
80333;9;65839;1
80688;5;54279;2
80665;4;239130;1
80030;6;653286;1
80716;1;239134;1
80332;6;51667;1
80806;6;65227;2
80344;11;11157;2
80486;8;12346;1
80200;9;608364;4
80635;4;11136;2
80290;7;237784;1
80333;7;65839;1
80713;7;11152;3
80327;8;608405;2
80228;2;54417;1
80332;6;65131;4
80713;4;60731;1
80396;4;11197;1
80637;5;65415;2
80025;6;249151;3
80692;10;237938;1
80221;9;51658;1
80327;9;8428;1
80497;8;65473;2
80006;7;11136;2
80609;9;239054;1
80600;6;65278;3
80422;12;65861;1
80025;5;237061;3
80600;11;11145;1
80713;8;65932;1
80222;1;53783;1
80371;6;18820;2
80688;5;65115;1
80688;7;64079;1
80501;9;61678;1
80635;6;54854;1
80635;6;53747;1
80333;4;162964;2
80649;11;239134;1
80713;6;65415;9
80665;7;54342;1
80713;7;159442;5
80222;6;51658;4
80633;6;65141;3
80486;6;65487;4
80333;8;53391;3
80248;3;11168;1
80713;10;253427;1
80806;3;53754;2
80574;9;219831;1
80609;5;11157;1
80087;5;11568;1
80228;3;608364;2
80637;8;65109;2
80290;6;53747;2
80221;9;239134;1
80133;4;433589;1
80167;12;238310;1
80200;8;18820;1
80250;9;51784;1
80486;4;65910;2
80221;9;237938;2
80637;10;53741;1
80688;3;51508;1
80248;7;51637;2
80109;11;11165;1
80637;10;459325;2
80250;10;8369;1
80688;7;247136;1
80486;11;53741;1
80222;9;241421;1
80635;6;247125;1
80600;7;65877;1
80222;9;223164;1
80221;6;11157;1
80222;10;1044195;1
80713;4;19873;1
80371;12;239133;2
80332;7;11165;3
80600;8;66157;3
80222;10;42194;1
80422;9;239134;1
80228;4;11165;1
80806;5;54540;3
80087;7;65889;2
80332;7;837870;1
80486;5;54451;5
80221;4;11165;1
80806;3;54417;1
80580;1;65271;1
80133;9;51658;1
80713;5;11136;1
80333;6;249288;5
80149;3;54417;2
80087;5;44890;1
80716;5;11133;1
80006;1;239134;1
80332;10;64206;1
80665;3;227386;1
80222;6;51647;1
80688;7;249801;1
80087;5;65265;2
80222;11;11157;2
80371;9;65192;1
80248;1;65155;1
80713;8;249823;3
80806;1;219831;13
80649;6;65910;2
80025;4;51619;1
80600;8;237938;1
80371;11;51710;1
80333;11;11173;2
80502;8;239134;1
80600;8;459325;3
80598;5;51923;2
80637;8;249151;1
80486;7;219740;1
80087;4;18829;3
80281;8;608364;1
80599;9;239130;1
80497;7;65278;1
80248;10;237061;1
80250;7;469173;1
80290;10;53747;1
80149;5;647027;1
80548;9;239133;2
80600;6;163385;1
80215;7;593263;1
80222;3;11165;1
80600;11;51619;1
80333;7;65477;2
80222;10;51658;3
80200;8;247136;1
80030;4;65109;1
80649;3;608364;2
80688;8;913804;2
80806;8;65322;11
80333;7;249288;1
80332;8;459325;2
80665;6;54856;1
80167;9;51615;1
80486;5;163017;3
80806;4;54417;2
80635;3;237938;1
80713;8;647027;2
80303;11;11168;1
80222;6;8282;1
80665;3;8402;1
80787;11;11136;1
80665;1;65265;1
80806;8;219831;2
80713;7;239128;3
80633;8;245161;1
80030;8;51813;1
80200;8;64260;1
80486;6;653286;7
80248;9;8447;1
80025;6;65109;4
80635;9;239134;1
80830;9;459325;1
80649;9;249158;1
80221;8;239112;1
80222;10;31456;2
80580;1;65227;5
80333;6;223334;1
80688;8;249198;3
80496;10;237051;1
80290;8;11173;2
80713;9;11136;1
80713;7;65165;3
80497;4;237406;1
80215;7;11202;1
80804;6;65141;1
80598;9;11152;1
80649;5;11131;1
80486;9;65613;1
80228;7;11165;1
80486;7;51814;1
80609;10;51784;1
80333;7;593263;3
80688;1;65265;1
80635;5;11173;1
80222;12;239131;1
80496;6;199882;1
80548;9;239128;1
80200;9;51658;1
80332;3;56502;2
80333;6;222266;3
80371;10;64260;1
80486;5;65145;5
80637;6;65300;2
80497;6;51710;1
80250;10;37550;1
80248;8;238490;1
80665;6;65109;2
80009;7;608364;1
80333;10;779506;1
80688;1;65155;5
80221;9;238329;1
80327;9;219831;1
80806;5;12106;1
80422;9;51710;1
80087;6;12232;1
80649;7;249385;3
80665;5;54724;2
80332;6;51847;1
80167;6;239112;1
80333;1;64140;2
80649;9;312885;1
80637;10;65219;1
80598;5;11568;1
80716;1;11165;1
80580;6;65131;8
80200;9;219831;2
80332;8;641941;2
80688;7;64035;12
80222;9;64248;1
80486;10;1574;1
80244;5;237061;3
80599;9;249151;1
80244;6;65265;2
80222;1;219756;2
80649;12;608364;1
80327;9;238460;3
80599;8;239111;1
80497;6;249153;1
80688;9;11202;1
80806;6;219740;4
80222;6;11157;1
80580;7;608364;1
80600;8;653281;1
80649;5;65899;1
80713;6;65101;4
80009;2;11165;1
80580;4;11136;1
80806;8;53724;2
80030;8;1550;1
80087;8;53595;2
80333;7;53759;3
80222;7;608405;7
80804;6;53623;6
80222;7;219799;7
80665;3;459325;1
80688;7;64144;6
80371;8;249823;1
80118;5;11165;1
80486;8;647027;2
80147;7;239523;1
80580;6;11131;1
80486;7;54468;1
80290;9;65740;2
80486;7;608364;1
80600;3;11173;1
80244;1;65440;1
80087;5;19873;1
80133;9;64177;1
80332;5;51627;1
80486;8;65740;2
80665;7;248853;2
80713;6;65141;16
80600;7;64194;2
80649;5;65141;2
80149;6;11136;1
80250;7;239131;1
80167;12;241502;1
80665;7;53878;1
80688;4;219833;2
80637;3;51677;1
80649;6;237051;1
80222;9;54342;1
80833;7;53747;1
80665;7;249202;1
80501;9;51658;1
80688;1;65109;9
80665;7;239130;1
80833;9;18820;1
80396;9;61678;1
80713;6;53595;2
80633;5;653281;1
80600;4;54052;1
80332;8;783840;2
80665;6;12246;1
80290;6;249823;1
80333;11;65344;5
80333;7;65115;1
80228;6;18827;4
80215;7;51784;1
80228;9;65335;1
80486;5;65161;1
80332;8;653286;1
80118;10;11202;2
80815;4;18820;1
80006;7;459325;1
80250;1;37194;1
80250;5;31456;1
80609;2;239134;1
80332;7;65155;1
80333;2;237924;1
80665;7;64036;2
80688;7;249204;1
80087;7;249385;1
80600;8;238495;1
80133;6;11145;1
80248;3;11157;1
80815;3;11197;1
80133;10;51658;1
80815;6;249151;2
80222;4;237061;3
80087;5;608364;1
80333;6;219740;1
80600;7;163017;8
80716;2;237980;1
80030;1;65109;1
80580;7;608405;2
80333;6;248853;3
80344;11;239133;1
80222;5;18829;1
80222;8;12242;1
80133;6;11165;5
80665;9;64859;1
80806;6;249151;4
80133;11;51677;1
80087;7;53741;3
80713;7;239111;1
80333;8;53595;8
80633;7;64117;1
80589;8;65774;1
80688;6;65376;1
80633;10;219831;1
80222;9;65899;2
80149;12;11165;1
80688;9;249639;4
80599;9;239133;2
80486;8;65882;2
80665;7;51627;1
80331;4;11157;1
80716;4;53741;1
80574;5;237372;1
80804;6;53747;2
80333;7;65192;2
80633;5;233222;1
80155;9;238310;1
80713;5;348300;1
80147;8;237925;1
80030;3;54451;2
80633;5;249403;1
80333;5;237966;1
80333;6;65300;3
80806;1;608364;16
80133;6;53668;1
80637;11;11144;1
80290;8;65740;2
80087;5;11157;1
80806;7;65219;9
80281;12;239134;1
80649;4;11165;1
80600;7;65300;2
80600;7;64141;11
80333;10;237061;1
80713;10;239134;2
80635;12;237406;2
80147;5;51923;1
80344;9;51649;1
80221;12;459325;1
80333;8;1595;1
80497;8;237406;1
80806;7;249387;1
80248;4;18820;1
80371;8;53668;1
80222;5;44020;1
80222;5;8343;1
80222;10;36182;1
80688;7;237739;1
80716;4;11133;1
80688;8;65878;1
80713;7;65192;6
80688;10;239054;1
80580;1;65165;3
80422;8;11131;1
80580;7;65344;4
80133;6;237061;1
80713;6;54279;2
80332;11;51508;1
80087;7;65141;1
80713;10;65344;18
80290;9;11165;2
80221;4;11131;1
80244;8;237925;1
80665;5;52148;1
80228;7;53741;6
80713;5;65155;10
80250;1;510243;1
80496;7;11165;1
80290;9;53741;6
80333;7;65278;7
80147;8;51610;1
80548;7;11585;1
80333;11;459325;1
80688;7;11152;2
80649;7;837869;2
80806;1;65415;13
80486;1;54451;1
80149;10;459325;1
80250;6;219831;1
80815;5;249745;1
80228;10;239117;1
80087;7;219831;1
80228;9;11168;1
80133;6;249433;1
80713;7;239130;2
80713;1;61057;10
80025;8;51677;2
80713;2;54417;4
80025;8;239133;2
80486;6;65740;2
80250;10;64859;1
80333;4;65199;1
80713;6;65335;3
80713;5;11157;1
80497;8;53724;2
80332;9;239111;1
80609;9;11202;1
80149;4;51619;1
80580;8;239111;2
80087;10;239131;2
80808;8;837869;1
80290;7;647027;1
80548;3;239112;1
80580;8;239133;3
80502;3;51331;1
80145;8;239054;1
80633;7;913804;1
80333;9;11165;2
80486;7;249823;1
80486;5;162935;3
80713;4;12106;1
80371;6;249202;1
80713;12;885038;2
80713;8;249151;3
80333;8;65636;1
80486;4;65109;1
80804;6;53741;2
80665;6;51637;1
80030;5;11157;1
80580;1;65322;12
80688;6;222280;1
80635;10;237051;1
80333;9;66088;1
80331;4;12357;1
80580;6;53754;1
80497;9;239523;1
80830;5;459325;1
80637;9;51619;1
80222;10;29904;3
80221;9;11165;2
80333;6;219983;2
80808;7;53741;5
80806;7;65395;2
80333;9;51658;1
80250;6;35996;1
80344;11;238385;1
80580;8;239112;1
80496;8;238110;2
80649;4;53595;2
80486;8;11157;2
80633;6;65278;3
80030;7;54342;2
80808;8;11152;1
80396;10;11165;1
80006;1;239133;1
80025;5;264323;4
80804;8;65697;17
80815;7;53754;1
80808;8;51637;1
80716;5;239523;1
80133;7;237815;1
80332;6;65141;1
80580;6;65265;3
80688;7;65199;4
80497;4;54724;1
80580;7;219740;1
80600;8;239134;1
80486;1;65487;4
80333;6;239128;1
80649;8;65199;3
80281;9;51784;1
80149;6;12176;2
80580;6;249198;1
80649;4;11157;1
80637;8;65322;1
80333;7;66121;10
80688;9;65300;1
80303;7;64141;6
80250;11;37151;1
80649;7;53668;4
80609;8;459325;1
80030;5;11197;1
80806;7;249823;2
80830;1;11197;1
80600;10;65991;1
80087;9;249639;1
80637;3;11131;2
80600;7;64177;3
80580;5;199863;1
80665;5;11732;1
80147;9;237925;1
80422;4;11202;1
80580;9;11131;1
80806;6;54854;6
80806;5;249288;3
80598;5;65141;1
80580;8;53623;2
80600;6;163019;1
80250;10;249746;1
80222;8;219833;2
80087;6;65109;3
80637;7;64201;6
80149;5;11131;1
80215;8;65440;1
80332;7;11585;5
80808;5;54540;1
80290;6;51331;1
80713;3;1574;1
80087;5;51658;2
80713;8;65322;27
80422;5;51677;1
80200;9;61678;1
80244;1;11165;1
80333;8;53724;1
80222;10;40716;2
80633;5;65899;2
80688;1;11165;1
80133;10;459325;2
80333;6;237825;2
80637;7;913804;1
80713;5;65278;11
80580;5;65155;1
80649;6;249196;1
80665;9;65797;1
80804;7;53700;1
80486;9;459325;1
80344;9;61678;3
80215;8;239111;1
80688;1;65192;1
80327;5;241138;1
80665;8;51658;1
80228;6;239117;1
80806;7;249382;1
80833;7;608405;1
80422;7;51847;1
80649;4;66194;2
80147;5;219833;1
80713;12;64253;8
80133;9;459325;1
80637;3;199863;1
80815;9;249746;1
80580;1;65440;1
80250;9;238479;1
80396;5;51610;1
80580;10;11131;2
80637;6;837869;3
80149;6;12380;1
80332;8;54279;2
80830;9;249151;1
80290;9;1597;1
80244;9;11133;2
80665;5;247063;1
80633;6;247136;1
80250;11;33180;1
80688;8;1574;2
80133;6;238479;1
80222;2;11157;1
80804;6;54271;9
80248;7;51658;1
80833;9;239133;1
80713;9;641941;6
80688;8;11165;4
80763;9;239131;1
80600;7;51784;1
80486;6;65145;4
80496;6;11165;4
80665;8;65265;1
80637;3;11168;1
80087;5;238358;1
80502;8;65991;2
80713;3;11168;1
80713;8;249200;1
80087;7;653286;2
80713;1;60716;3
80228;9;65219;1
80332;4;54451;1
80665;8;65155;6
80713;11;65344;3
80649;7;223164;1
80222;9;31916;1
80333;4;53391;1
80222;10;36977;3
80200;9;785665;1
80713;7;12346;3
80649;12;64253;1
80635;5;222268;1
80250;1;36977;1
80333;4;11197;1
80806;8;53741;1
80496;8;11173;1
80665;5;237822;1
80486;5;51615;1
80248;8;249385;1
80806;6;11732;1
80333;8;913804;5
80333;6;54342;2
80290;8;65877;1
80806;8;249200;1
80806;8;65109;5
80635;7;53747;2
80333;5;239048;1
80580;8;65440;3
80200;8;238479;1
80649;9;11133;3
80248;7;219831;3
80009;9;459325;1
80167;10;11173;1
80222;8;249828;1
80145;3;239111;1
80333;1;531122;2
80808;5;54724;1
80580;5;65101;4
80713;8;459325;2
80167;10;11136;2
80631;7;837869;1
80635;8;18829;1
80222;6;11362;1
80133;12;1574;2
80118;7;51658;1
80665;9;11173;1
80025;12;239128;2
80118;8;53668;1
80477;10;459325;2
80833;9;239112;1
80688;3;11136;2
80688;9;65456;1
80250;10;237051;1
80200;8;51658;2
80688;7;64169;14
80331;5;219493;2
80371;8;241138;1
80486;2;853999;1
80030;10;239131;1
80371;9;249820;1
80713;9;65877;3
80713;8;10992;1
80030;1;65155;1
80635;6;237535;1
80713;8;65115;2
80331;10;239134;3
80649;5;11186;2
80087;6;65636;1
80167;8;239130;1
80222;5;239134;1
80649;5;64213;1
80327;5;223326;1
80713;8;11173;4
80145;3;51649;1
80333;5;65131;2
80580;8;53747;1
80222;7;239130;2
80133;3;18829;1
80009;10;11136;1
80327;5;249746;1
80598;10;64194;1
80713;9;53595;14
80580;10;51602;1
80635;6;249400;2
80396;10;239133;1
80167;5;12176;1
80688;4;64206;1
80787;7;65344;1
80716;3;53759;1
80200;9;53747;2
80222;1;8410;3
80333;6;11575;2
80713;9;239133;1
80249;7;608405;1
80332;7;199863;1
80806;6;249158;2
80808;8;11157;1
80200;9;64248;1
80806;9;65440;4
80598;5;65415;1
80087;8;913804;1
80222;5;11573;1
80633;4;65415;1
80222;1;8348;1
80649;5;65278;2
80804;9;66103;5
80145;7;54342;1
80806;7;248853;2
80290;8;65636;1
80637;7;65131;2
80025;1;65109;1
80635;9;53759;2
80332;3;163068;2
80222;7;65344;2
80331;7;249151;1
80025;5;52816;3
80250;1;50344;1
80281;12;51710;1
80713;7;653286;3
80713;5;238274;1
80635;5;53747;1
80635;3;237925;1
80344;9;18829;1
80830;10;11197;1
80290;6;222266;1
80637;8;65219;1
80637;9;65109;1
80692;6;65932;1
80244;1;645873;1
80688;1;64179;1
80637;9;239133;1
80147;5;54279;1
80332;10;433589;1
80635;7;65300;2
80609;6;11133;1
80109;8;223156;1
80633;6;65184;1
80222;5;199863;1
80333;7;51764;2
80228;5;54451;2
80486;1;53604;1
80332;7;239117;1
80250;5;34527;1
80087;9;11157;2
80589;10;459325;1
80580;4;65101;5
80649;8;65192;3
80832;11;608364;1
80486;9;1550;1
80030;10;11131;1
80716;7;53668;2
80109;6;653281;1
80422;4;11173;1
80486;3;699887;3
80633;11;237938;1
80804;5;54417;2
80806;6;51658;3
80200;5;54279;1
80087;4;64859;1
80635;5;237051;1
80333;8;12346;1
80486;6;53759;1
80215;7;53595;1
80133;6;219831;2
80133;6;219833;2
80371;8;608364;1
80215;7;239111;1
80303;7;64182;4
80118;7;1597;1
80025;6;64260;1
80006;7;239111;1
80333;6;65774;2
80600;8;65278;1
80808;5;54052;2
80118;8;65219;1
80333;6;54279;1
80580;5;18829;3
80333;5;11165;2
80333;8;608364;9
80649;7;593263;4
80009;8;11136;2
80806;6;65473;10
80635;6;11157;1
80496;4;241138;1
80649;6;65155;8
80025;9;61678;1
80333;7;238310;1
80631;9;11197;1
80215;7;163387;1
80327;9;65991;1
80333;6;237782;3
80649;6;53759;2
80649;8;65877;2
80025;6;65141;2
80635;6;238329;1
80145;9;11136;1
80228;4;248375;1
80030;8;249156;1
80599;9;219831;1
80635;7;593263;3
80574;9;608364;1
80665;1;64205;2
80548;9;11152;1
80030;4;65101;2
80713;9;53741;16
80716;5;53727;1
80713;9;53623;3
80333;6;11519;1
80486;7;65487;27
80118;7;53623;1
80303;7;163017;2
80290;9;520743;1
80422;5;238233;1
80688;9;1597;2
80333;9;238460;1
80635;8;249198;1
80344;9;237938;1
80222;4;11197;1
80635;7;54537;1
80396;5;51658;1
80548;7;51615;1
80688;10;37033;1
80665;5;54279;1
80713;7;239133;1
80830;8;239131;1
80713;7;65262;7
80808;8;11165;4
80713;7;66114;2
80649;7;65910;1
80025;5;608364;1
80333;12;162934;2
80332;9;11173;1
80665;9;51784;1
80598;9;65889;2
80590;2;11136;1
80637;6;53595;1
80228;5;11157;1
80222;5;51637;1
80649;4;240430;1
80087;10;11173;1
80713;5;52817;3
80228;9;65697;3
80665;12;11168;1
80665;12;459325;1
80815;6;240499;1
80221;12;238233;1
80688;5;64145;1
80486;3;237211;1
80222;7;239131;1
80087;10;11157;1
80598;7;11152;2
80665;8;51508;1
80497;4;65991;1
80290;3;53759;1
80303;7;51637;1
80332;7;18820;1
80808;8;53724;1
80167;10;11168;1
80649;4;65910;2
80486;5;64054;2
80222;10;36338;1
80290;7;249202;1
80025;3;239133;1
80327;7;53973;1
80025;6;51610;1
80380;9;11131;1
80290;5;11165;1
80333;8;65944;1
80025;1;65101;1
80332;3;61729;2
80688;7;62188;4
80333;4;163385;8
80548;8;11202;1
80228;10;54417;1
80716;6;51786;1
80713;7;11197;2
80222;6;65265;1
80462;9;238387;1
80635;7;608364;1
80145;9;239134;1
80688;8;457331;1
80221;8;11173;2
80333;10;239117;1
80333;8;65344;5
80633;7;65487;7
80600;7;64069;2
80713;6;65910;3
80030;4;53724;1
80332;8;837869;4
80332;6;53623;2
80688;4;65141;1
80688;8;249151;2
80580;9;239111;1
80303;6;65131;3
80333;8;65131;3
80502;3;11157;1
80713;9;61678;2
80609;11;238310;1
80109;8;10990;1
80332;7;12252;1
80635;11;11168;1
80228;7;249196;1
80808;3;11165;1
80486;8;66077;1
80486;6;163387;2
80222;10;520774;1
80713;5;251783;1
80222;10;10539;5
80133;10;163019;1
80580;6;65278;7
80716;2;11168;1
80598;12;11168;1
80637;1;11202;1
80688;5;65262;5
80332;9;53724;2
80167;6;459325;1
80327;9;837869;2
80332;10;887329;1
80087;6;249204;1
80633;8;249151;1
80665;5;1585;1
80600;7;62002;3
80502;3;238233;1
80804;6;54342;1
80486;7;239112;1
80808;8;53747;1
80537;8;219831;1
80222;5;459325;1
