Insee (Pheno!Mois!Insee);Mois Obs;CD REF (pheno!mois!insee);Nb Donnees
80118;6;65184;1
80637;7;593263;5
80502;8;219831;1
80396;5;239131;1
80637;7;65878;3
80497;8;1597;1
80248;3;53754;1
80333;6;249206;1
80371;8;65636;2
80147;8;11157;1
80716;7;53741;1
80025;6;65740;1
80222;10;52886;1
80228;8;65774;2
80713;7;11173;2
80149;4;54052;1
80248;7;645873;1
80222;9;31233;2
80109;3;608364;2
80713;6;239048;3
80716;3;459325;1
80333;6;249823;5
80333;7;65208;3
80600;5;65473;2
80631;9;11152;1
80830;5;780135;1
80221;9;53741;1
80422;9;51617;1
80688;6;65227;2
80598;6;241421;1
80222;6;237803;1
80713;7;247058;1
80637;8;593263;1
80804;6;65300;1
80030;6;54342;1
80333;10;11173;1
80149;3;239054;1
80486;5;64035;3
80155;9;51784;1
80815;6;65740;1
80250;10;65344;1
80228;7;65300;8
80462;9;11136;1
80250;11;51647;1
80665;8;1598;2
80649;5;53623;4
80248;7;54052;1
80333;10;913804;2
80244;7;65440;1
80600;7;64049;1
80145;8;11131;1
80332;8;11202;1
80649;9;65322;1
80333;8;54843;6
80200;8;239131;1
80635;9;61678;1
80486;1;54279;1
80087;9;249801;1
80665;6;1574;1
80692;5;239132;1
80637;7;239112;1
80635;6;51786;1
80006;7;239133;2
80249;5;11133;1
80332;8;51658;3
80333;8;53623;10
80806;7;608364;2
80665;1;64135;4
80087;7;65131;1
80580;6;65101;5
80635;5;11165;1
80327;9;11165;1
80496;10;457331;1
80580;8;65219;9
80087;5;11732;1
80637;4;65899;1
80332;8;51615;1
80688;9;249198;1
80649;5;54307;2
80030;8;65155;1
80832;4;238310;1
80806;8;239128;1
80713;8;65348;1
80537;6;239111;1
80635;7;65473;2
80635;1;65131;1
80716;7;51658;1
80332;10;54417;1
80228;5;239048;6
80637;4;239134;2
80133;6;459325;1
80462;6;51847;1
80713;4;247141;1
80665;7;64141;2
80374;7;65636;1
80806;5;249156;1
80713;10;249151;1
80222;3;51331;1
80713;3;51649;1
80333;7;11168;2
80333;7;51786;2
80222;8;237815;1
80333;12;433590;1
80600;6;65265;1
80649;3;65899;1
80332;8;53741;3
80716;6;237854;1
80118;8;65451;1
80806;1;65300;9
80486;5;64629;1
80290;6;219740;1
80633;8;65155;2
80025;2;239128;1
80087;8;65878;2
80333;1;416747;2
80200;8;239112;2
80332;6;11197;1
80244;6;65131;2
80600;7;65219;3
80713;7;219490;1
80333;11;11136;1
80221;8;11131;1
80147;8;239131;1
80713;4;234449;1
80635;1;1574;1
80713;4;497;1
80815;4;239130;1
80327;8;53595;1
80713;12;56502;2
80222;7;11585;3
80327;9;65636;1
80087;8;53747;1
80716;8;11202;1
80145;8;11165;1
80713;9;249639;2
80332;8;11145;1
80815;9;11197;1
80808;8;51710;1
80635;9;459325;1
80290;8;51508;2
80637;6;11157;1
80333;3;521613;2
80149;2;11165;1
80167;2;11136;1
80228;9;66157;1
80025;6;52886;1
80248;6;219833;1
80688;8;593263;1
80486;5;65910;3
80713;12;521613;6
80496;5;54540;1
80806;1;65219;18
80332;6;65262;1
80713;7;65991;1
80548;9;459325;1
80248;8;51647;2
80806;8;249382;1
80688;1;239134;1
80713;7;249828;1
80600;7;608364;1
80290;7;249288;1
80806;8;53770;1
80290;8;608405;2
80609;2;11165;1
80600;7;64035;8
80713;8;53759;3
80580;7;65487;6
80649;5;54279;1
80332;5;51923;1
80713;3;54451;1
80222;5;65991;1
80806;6;248375;1
80815;9;937893;1
80248;4;238350;1
80149;4;199863;1
80833;4;237051;1
80374;7;53759;1
80713;5;219490;5
80815;3;11131;1
80333;4;64137;2
80580;8;238479;2
80713;7;238495;2
80087;4;237061;2
80025;8;238479;2
80486;9;913804;1
80580;5;18820;3
80713;9;65473;1
80244;8;65101;2
80133;8;53741;1
80222;6;249288;1
80250;1;30372;1
80333;8;65456;2
80633;6;249387;1
80396;6;53668;1
80222;6;163195;1
80222;1;53786;1
80290;8;1597;1
80665;6;12208;1
80665;6;249822;1
80248;8;8428;1
80486;6;641941;1
80633;7;53747;1
80580;8;51602;1
80222;7;219833;5
80222;6;249152;1
80155;8;785665;1
80713;8;65145;4
80009;8;11157;1
80815;3;54052;2
80333;5;65899;3
80609;9;51649;1
80025;2;11157;1
80713;7;65131;13
80222;9;65774;1
80713;8;65165;4
80486;10;65322;1
80228;2;11165;1
80815;7;239134;1
80133;7;237784;1
80649;5;65339;1
80580;6;12176;1
80649;6;249288;1
80688;8;837869;1
80713;10;163385;1
80333;6;66088;1
80250;7;237926;1
80222;1;219742;2
80633;3;239117;1
80815;11;11165;1
80486;5;65278;1
80249;7;64260;1
80333;7;65109;8
80248;8;11585;1
80147;7;53754;2
80635;8;249151;1
80332;9;53747;2
80713;6;247079;1
80009;7;54052;1
80250;1;31682;1
80222;10;8447;1
80688;8;219833;1
80149;11;237938;1
80025;10;31682;1
80599;9;11131;1
80371;6;53741;1
80830;9;11173;3
80486;5;901432;1
80598;7;53668;2
80167;11;11152;2
80688;9;65322;3
80600;7;11165;3
80806;8;249204;1
80713;7;53747;2
80118;10;51647;1
80030;3;64253;1
80332;7;11144;1
80713;12;64144;2
80806;6;233226;1
80665;5;237406;1
80665;7;11173;1
80486;7;53754;1
80649;4;53391;2
80806;6;65415;1
80713;5;11732;1
80290;8;11165;3
80477;5;223080;1
80149;7;65877;1
80145;1;11165;1
80637;12;459325;1
80580;1;653281;4
80290;8;794808;1
80333;8;11168;2
80249;7;249828;2
80250;11;31456;1
80692;6;65262;1
80806;7;653281;2
80497;6;65740;1
80649;7;53623;3
80147;9;238162;1
80290;6;249158;1
80665;10;11136;1
80222;7;223152;6
80633;7;65155;1
80025;12;11165;1
80713;12;65344;1
80633;6;11168;1
80167;8;223080;1
80830;8;239133;1
80649;8;65265;1
80806;2;11131;1
80496;4;51677;1
80665;6;237061;1
80713;10;11152;1
80637;9;238385;1
80333;1;1044195;2
80688;7;65878;1
80574;9;238387;1
80332;6;65145;3
80290;7;51615;1
80332;7;65877;2
80215;7;219831;3
80665;1;163265;2
80109;10;608364;3
80713;7;11690;1
80109;7;53759;1
80808;10;53741;4
80688;10;312885;1
80327;8;51703;1
80633;7;65300;1
80688;7;163387;17
80149;1;239054;1
80222;7;219831;1
80688;3;54417;1
80598;2;11136;1
80221;12;238298;1
80222;4;239130;1
80600;6;653281;1
80228;9;64253;2
80222;5;219831;2
80665;2;11136;1
80633;9;608364;1
80030;9;65219;1
80808;8;239117;1
80716;1;65155;1
80806;6;65395;4
80609;5;11165;1
80609;4;54451;1
80649;8;249204;1
80713;5;249156;1
80633;6;247135;1
80200;8;18829;1
80815;8;65891;1
80025;8;238110;1
80804;2;11136;2
80649;8;66157;1
80025;1;653281;1
80497;8;237926;1
80637;7;162884;4
80155;8;11136;1
80332;7;237815;1
80477;9;11131;1
80281;10;11136;1
80806;9;53741;2
80649;6;65322;3
80598;9;239117;1
80808;5;11165;5
80635;9;237051;3
80087;7;54854;3
80222;10;520743;3
80649;7;65774;4
80332;8;653281;1
80713;9;11133;2
80244;6;65109;2
80374;7;239134;1
80580;6;65262;2
80804;8;913804;5
80649;7;66121;4
80030;5;54279;1
80635;5;53595;2
80713;7;53741;17
80808;8;51677;1
80422;7;237980;1
80333;5;65192;1
80333;7;65697;5
80649;8;65165;1
80133;12;237061;1
80665;7;64646;2
80228;4;54417;3
80327;7;219831;1
80250;9;11202;1
80833;9;61678;1
80145;8;238460;1
80665;5;64859;1
80290;5;237925;1
80637;5;65300;1
80806;6;249389;1
80496;8;51508;2
80548;9;239131;1
80806;7;54279;1
80665;6;65184;1
80806;1;65271;5
80133;9;51619;1
80371;8;237815;1
80580;6;53741;2
80600;8;65265;1
80496;5;65861;1
80250;6;53668;1
80374;3;608364;1
80633;7;53668;4
80228;5;11578;1
80665;6;54342;1
80087;5;237850;2
80649;11;239133;1
80496;4;11157;2
80290;5;239133;1
80580;6;53747;2
80497;4;54417;2
80496;6;51615;1
80787;3;65192;1
80633;6;65415;1
80574;9;239133;1
80713;6;65877;1
80665;6;54854;1
80222;12;65861;1
80637;6;11144;1
80250;1;40654;1
80637;7;162934;2
80806;9;239112;2
80149;9;11157;2
80716;9;239133;3
80598;5;11152;1
80371;6;227320;1
80580;1;65109;15
80688;9;65109;2
80635;9;64253;1
80030;3;608364;4
80222;10;249151;1
80133;6;54052;2
80281;8;785665;1
80222;3;51637;1
80133;6;238480;1
80333;11;239054;1
80025;10;37550;1
80497;7;51946;1
80422;7;459325;1
80396;4;239117;1
80006;10;1597;1
80580;1;65290;1
80222;8;65344;6
80250;1;520743;1
80281;9;51677;1
80815;11;11131;1
80497;8;237404;2
80221;9;238295;1
80649;7;65208;2
80327;8;239134;1
80688;7;64646;2
80147;7;219831;1
80600;6;65878;1
80133;3;18820;2
80806;1;65877;7
80250;11;509948;1
80548;3;238192;1
80713;8;66036;1
80133;10;239054;1
80600;4;247141;1
80087;5;238233;1
80713;8;65877;2
80087;7;237925;1
80333;9;65219;2
80713;5;54342;1
80486;6;11755;1
80815;12;65861;1
80222;1;65344;3
80688;6;837869;1
80633;6;249203;1
80598;5;11165;2
80688;6;238090;1
80333;2;11173;1
80649;7;65155;8
80665;1;163008;2
80422;7;11165;1
80808;5;219831;3
80713;4;65415;1
80222;6;239128;1
80649;9;53741;4
80250;5;509740;1
80422;3;239117;1
80609;7;239133;2
80688;7;11186;1
80609;9;11165;3
80332;6;608364;1
80006;9;237938;1
80118;6;53595;1
80374;9;61678;1
80808;9;61678;1
80688;8;51508;1
80030;6;53668;4
80222;7;219741;2
80598;9;11165;1
80497;7;433590;1
80290;3;18820;1
80665;3;11136;1
80327;9;239133;2
80830;10;237061;1
80133;6;239134;2
80688;5;65227;3
80222;3;238385;1
80600;11;237980;1
80665;6;18829;1
80248;3;11165;1
80371;8;239133;2
80009;8;159442;2
80477;7;65740;1
80713;3;11136;2
80486;9;51784;1
80380;9;237372;1
80806;5;65115;1
80030;8;249204;1
80486;7;11202;1
80333;8;65477;2
80688;6;54854;2
80250;11;34632;1
80713;6;237842;1
80637;1;11152;2
80371;9;53741;2
80030;5;249403;1
