Afficher Niveau;Afficher Niveau good;Classe;Famille;Gbif Id;Group1 Inpn;Group2 Inpn;Group3 Inpn;Nom Complet;Nom Valide;Nom Vern;Ordre;Phylum;Rang;Regne;Sous Famille;Tribu;URL;Url Inpn;Cd Nom;CD REF (taxonomie);Habitat
Chromista;Chromista;Bacillariophyceae;Rhoicospheniaceae;8000477;Autres;Diatomées;Blebleble;Rhoicosphenia abbreviata (C.Agardh) Lange-Bert., 1980;Rhoicosphenia abbreviata (C.Agardh) Lange-Bert., 1980;;Cymbellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/529064;https://inpn.mnhn.fr/espece/cd_nom/529064;529064;529064;2
Chromista;Chromista;Bacillariophyceae;Naviculaceae;8305755;Autres;Diatomées;Blebleble;Caloneis bacillum (Grunow) Cleve, 1894;Caloneis bacillum (Grunow) Cleve, 1894;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/74758;https://inpn.mnhn.fr/espece/cd_nom/74758;74758;74758;5
Chromista;Chromista;Bacillariophyceae;Catenulaceae;7547842;Autres;Diatomées;Blebleble;Amphora pediculus (Kütz.) Grunow ex A.Schmidt, 1875;Amphora pediculus (Kütz.) Grunow ex A.Schmidt, 1875;;Thalassiophysales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/528951;https://inpn.mnhn.fr/espece/cd_nom/528951;528951;528951;2
Chromista;Chromista;Bacillariophyceae;Cocconeidaceae;7883252;Autres;Diatomées;Blebleble;Cocconeis pediculus Ehrenberg, 1838;Cocconeis pediculus Ehrenberg, 1838;;Achnanthales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75486;https://inpn.mnhn.fr/espece/cd_nom/75486;75486;75486;2
Chromista;Chromista;Bacillariophyceae;Naviculaceae;5269292;Autres;Diatomées;Blebleble;Navicula gregaria Donkin, 1861;Navicula gregaria Donkin, 1861;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75907;https://inpn.mnhn.fr/espece/cd_nom/75907;75907;75907;4
Chromista;Chromista;Bacillariophyceae;Diploneidaceae;2632863;Autres;Diatomées;Blebleble;Diploneis elliptica (Kütz.) Cleve, 1894;Diploneis elliptica (Kütz.) Cleve, 1894;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75771;https://inpn.mnhn.fr/espece/cd_nom/75771;75771;75771;4
Chromista;Chromista;Bacillariophyceae;Naviculaceae;5269014;Autres;Diatomées;Blebleble;Navicula cryptocephala Kütz., 1844;Navicula cryptocephala Kütz., 1844;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76196;https://inpn.mnhn.fr/espece/cd_nom/76196;76196;76196;4
Chromista;Chromista;Bacillariophyceae;Pleurosigmataceae;7531008;Autres;Diatomées;Blebleble;Gyrosigma sciotense (Sullivan & Wormley) Cleve, 1894;Gyrosigma sciotense (Sullivan & Wormley) Cleve, 1894;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/658156;https://inpn.mnhn.fr/espece/cd_nom/658156;658156;658156;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;5421801;Autres;Diatomées;Blebleble;Staurosira construens Ehrenberg, 1843;Staurosira construens Ehrenberg, 1843;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/627723;https://inpn.mnhn.fr/espece/cd_nom/627723;627723;627723;2
Chromista;Chromista;Bacillariophyceae;Catenulaceae;5267404;Autres;Diatomées;Blebleble;Amphora ovalis (Kütz.) Kütz., 1844;Amphora ovalis (Kütz.) Kütz., 1844;;Thalassiophysales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/74675;https://inpn.mnhn.fr/espece/cd_nom/74675;74675;74675;2
Chromista;Chromista;Bacillariophyceae;Surirellaceae;7969545;Autres;Diatomées;Blebleble;Surirella minuta Bréb., 1849;Surirella minuta Bréb., 1849;;Surirellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76622;https://inpn.mnhn.fr/espece/cd_nom/76622;76622;76622;2
Chromista;Chromista;Bacillariophyceae;Bacillariaceae;7722521;Autres;Diatomées;Blebleble;Nitzschia sigmoidea (Nitzsch) W. Smith, 1853;Nitzschia sigmoidea (Nitzsch) W. Smith, 1853;;Bacillariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76397;https://inpn.mnhn.fr/espece/cd_nom/76397;76397;76397;2
Chromista;Chromista;Bacillariophyceae;Melosiraceae;3194090;Autres;Diatomées;Blebleble;Melosira varians C.Agardh, 1827;Melosira varians C.Agardh, 1827;;Melosirales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76141;https://inpn.mnhn.fr/espece/cd_nom/76141;76141;76141;2
Chromista;Chromista;Bacillariophyceae;Pleurosigmataceae;2632672;Autres;Diatomées;Blebleble;Gyrosigma nodiferum (Grunow) Reimer, 1966;Gyrosigma sciotense (Sullivan & Wormley) Cleve, 1894;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/812131;https://inpn.mnhn.fr/espece/cd_nom/812131;812131;658156;2
Chromista;Chromista;Bacillariophyceae;Catenulaceae;7713991;Autres;Diatomées;Blebleble;Amphora copulata (Kütz.) Schoeman & R.E.M.Archibald, 1986;Amphora copulata (Kütz.) Schoeman & R.E.M.Archibald, 1986;;Thalassiophysales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/528950;https://inpn.mnhn.fr/espece/cd_nom/528950;528950;528950;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;3192686;Autres;Diatomées;Blebleble;Asterionella formosa Hassall, 1850;Asterionella formosa Hassall, 1850;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/74710;https://inpn.mnhn.fr/espece/cd_nom/74710;74710;74710;2
Chromista;Chromista;Bacillariophyceae;Stephanodiscaceae;3193261;Autres;Diatomées;Blebleble;Stephanodiscus hantzschii Grunow in Cleve & Grunow, 1880;Stephanodiscus hantzschii Grunow in Cleve & Grunow, 1880;;Thalassiosirales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76574;https://inpn.mnhn.fr/espece/cd_nom/76574;76574;76574;4
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;9746081;Autres;Diatomées;Blebleble;Pseudostaurosira parasitica var. subconstricta (Grunow) Morales, 2003;Pseudostaurosira subconstricta (Grunow) Kulokovskiy & Genkal, 2011;;Fragilariales;Bacillariophyta;VAR;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/655513;https://inpn.mnhn.fr/espece/cd_nom/655513;655513;899440;2
Chromista;Chromista;Bacillariophyceae;Bacillariaceae;2627969;Autres;Diatomées;Blebleble;Denticula tenuis Kütz., 1844;Denticula tenuis Kütz., 1844;;Bacillariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75716;https://inpn.mnhn.fr/espece/cd_nom/75716;75716;75716;2
Chromista;Chromista;Bacillariophyceae;Pleurosigmataceae;7561483;Autres;Diatomées;Blebleble;Gyrosigma attenuatum (Kütz.) Rabenh., 1853;Gyrosigma attenuatum (Kütz.) Rabenh., 1853;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75323;https://inpn.mnhn.fr/espece/cd_nom/75323;75323;75323;2
Chromista;Chromista;Bacillariophyceae;Surirellaceae;2632080;Autres;Diatomées;Blebleble;Surirella angusta Kütz., 1844;Surirella angusta Kütz., 1844;;Surirellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/76597;https://inpn.mnhn.fr/espece/cd_nom/76597;76597;76597;2
Chromista;Chromista;Bacillariophyceae;Diadesmidaceae;7817489;Autres;Diatomées;Blebleble;Luticola nivalis (Ehrenb.) D.G.Mann in Round, Crawford & Mann, 1990;Luticola nivalis (Ehrenb.) D.G.Mann in Round, Crawford & Mann, 1990;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/657924;https://inpn.mnhn.fr/espece/cd_nom/657924;657924;657924;8
Chromista;Chromista;Bacillariophyceae;Cymbellaceae;2629545;Autres;Diatomées;Blebleble;Encyonema caespitosum Kütz., 1849;Encyonema caespitosum Kütz., 1849;;Cymbellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/529883;https://inpn.mnhn.fr/espece/cd_nom/529883;529883;529883;2
Chromista;Chromista;Bacillariophyceae;Aulacoseiraceae;3194062;Autres;Diatomées;Blebleble;Aulacoseira granulata (Ehrenberg) Simonsen, 1979;Aulacoseira granulata (Ehrenberg) Simonsen, 1979;;Aulacoseirales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/530282;https://inpn.mnhn.fr/espece/cd_nom/530282;530282;530282;2
Chromista;Chromista;Bacillariophyceae;Stephanodiscaceae;3193364;Autres;Diatomées;Blebleble;Cyclostephanos dubius (Hust.) Round, 1988;Cyclostephanos dubius (Hust.) Round, 1988;;Thalassiosirales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/653793;https://inpn.mnhn.fr/espece/cd_nom/653793;653793;653793;2
Chromista;Chromista;Bacillariophyceae;Gomphonemataceae;8211274;Autres;Diatomées;Blebleble;Gomphonema truncatum Ehrenberg, 1832;Gomphonema truncatum Ehrenberg, 1832;;Cymbellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/529067;https://inpn.mnhn.fr/espece/cd_nom/529067;529067;529067;2
Chromista;Chromista;Bacillariophyceae;Pleurosigmataceae;7369131;Autres;Diatomées;Blebleble;Gyrosigma acuminatum (Kütz.) Rabenh., 1853;Gyrosigma acuminatum (Kütz.) Rabenh., 1853;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75322;https://inpn.mnhn.fr/espece/cd_nom/75322;75322;75322;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;8261060;Autres;Diatomées;Blebleble;Fragilaria pulchella (Ralfs ex Kütz.) Lange-Bert., 1980;Ctenophora pulchella (Ralfs ex Kütz.) D.M.Williams & Round, 1986;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/547216;https://inpn.mnhn.fr/espece/cd_nom/547216;547216;530292;2
