Afficher Niveau;Afficher Niveau good;Classe;Famille;Gbif Id;Group1 Inpn;Group2 Inpn;Group3 Inpn;Nom Complet;Nom Valide;Nom Vern;Ordre;Phylum;Rang;Regne;Sous Famille;Tribu;URL;Url Inpn;Cd Nom;CD REF (taxonomie);Habitat
Lepidoptera;Animalia;Insecta;Geometridae;1962434;Arthropodes;Insectes;Lépidoptères;Dysstroma truncata (Hufnagel, 1767);Dysstroma truncata (Hufnagel, 1767);Cidarie roussâtre (La);Lepidoptera;Arthropoda;ES;Animalia;Larentiinae;Cidariini;https://taxref.mnhn.fr/taxref-web/taxa/248567;https://inpn.mnhn.fr/espece/cd_nom/248567;248567;248567;3
Lepidoptera;Animalia;Insecta;Geometridae;1986157;Arthropodes;Insectes;Lépidoptères;Xanthorhoe fluctuata (Linnaeus, 1758);Xanthorhoe fluctuata (Linnaeus, 1758);Incertaine (L'), Phalène ondée (La);Lepidoptera;Arthropoda;ES;Animalia;Larentiinae;Xanthorhoini;https://taxref.mnhn.fr/taxref-web/taxa/248784;https://inpn.mnhn.fr/espece/cd_nom/248784;248784;248784;3
Lepidoptera;Animalia;Insecta;Geometridae;1965913;Arthropodes;Insectes;Lépidoptères;Angerona prunaria (Linnaeus, 1758);Angerona prunaria (Linnaeus, 1758);Angéronie du Prunier (L'), Phalène du Noisetier (La);Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Gnophini;https://taxref.mnhn.fr/taxref-web/taxa/248833;https://inpn.mnhn.fr/espece/cd_nom/248833;248833;248833;3
Lepidoptera;Animalia;Insecta;Erebidae;1819145;Arthropodes;Insectes;Lépidoptères;Calliteara pudibunda (Linnaeus, 1758);Calliteara pudibunda (Linnaeus, 1758);Pudibonde (La), Patte-Etendue (La);Lepidoptera;Arthropoda;ES;Animalia;Lymantriinae;Orgyiini;https://taxref.mnhn.fr/taxref-web/taxa/249032;https://inpn.mnhn.fr/espece/cd_nom/249032;249032;249032;3
Hemiptera;Animalia;Insecta;Miridae;2011697;Arthropodes;Insectes;Hémiptères;Phytocoris ulmi (Linnaeus, 1758);Phytocoris ulmi (Linnaeus, 1758);;Hemiptera;Arthropoda;ES;Animalia;Mirinae;Mirini;https://taxref.mnhn.fr/taxref-web/taxa/237756;https://inpn.mnhn.fr/espece/cd_nom/237756;237756;237756;3
Lepidoptera;Animalia;Insecta;Geometridae;1990066;Arthropodes;Insectes;Lépidoptères;Odontopera bidentata (Clerck, 1759);Odontopera bidentata (Clerck, 1759);Ennomos dentelé (L');Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Ennomini;https://taxref.mnhn.fr/taxref-web/taxa/248972;https://inpn.mnhn.fr/espece/cd_nom/248972;248972;248972;3
Lepidoptera;Animalia;Insecta;Noctuidae;4533446;Arthropodes;Insectes;Lépidoptères;Diarsia rubi (Vieweg, 1790);Diarsia rubi (Vieweg, 1790);Noctuelle belle (La);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Noctuini;https://taxref.mnhn.fr/taxref-web/taxa/249269;https://inpn.mnhn.fr/espece/cd_nom/249269;249269;249269;3
Lepidoptera;Animalia;Insecta;Noctuidae;1775891;Arthropodes;Insectes;Lépidoptères;Coenobia rufa (Haworth, 1809);Coenobia rufa (Haworth, 1809);Nonagrie rougeâtre (La);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Apameini;https://taxref.mnhn.fr/taxref-web/taxa/249361;https://inpn.mnhn.fr/espece/cd_nom/249361;249361;249361;3
Lepidoptera;Animalia;Insecta;Noctuidae;1798984;Arthropodes;Insectes;Lépidoptères;Orthosia cerasi (Fabricius, 1775);Orthosia cerasi (Fabricius, 1775);Orthosie du Cerisier (L');Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Orthosiini;https://taxref.mnhn.fr/taxref-web/taxa/249579;https://inpn.mnhn.fr/espece/cd_nom/249579;249579;249579;3
Diptera;Animalia;Insecta;Syrphidae;1544405;Arthropodes;Insectes;Diptères;Syritta Lepeletier de Saint-Fargeau & Audinet-Serville in Latreille, 1828;Syritta Lepeletier de Saint-Fargeau & Audinet-Serville in Latreille, 1828;;Diptera;Arthropoda;GN;Animalia;Eristalinae;Milesiini;https://taxref.mnhn.fr/taxref-web/taxa/198160;;198160;198160;3
Hemiptera;Animalia;Insecta;Miridae;6096745;Arthropodes;Insectes;Hémiptères;Oncotylus punctipes Reuter, 1875;Oncotylus punctipes Reuter, 1875;;Hemiptera;Arthropoda;ES;Animalia;Phylinae;Phylini;https://taxref.mnhn.fr/taxref-web/taxa/237539;https://inpn.mnhn.fr/espece/cd_nom/237539;237539;237539;3
Lepidoptera;Animalia;Insecta;Erebidae;4532405;Arthropodes;Insectes;Lépidoptères;Lygephila pastinum (Treitschke, 1826);Lygephila pastinum (Treitschke, 1826);Ophiuse de l'Astragale (L');Lepidoptera;Arthropoda;ES;Animalia;Toxocampinae;;https://taxref.mnhn.fr/taxref-web/taxa/249771;https://inpn.mnhn.fr/espece/cd_nom/249771;249771;249771;3
Hemiptera;Animalia;Insecta;Miridae;4487326;Arthropodes;Insectes;Hémiptères;Notostira elongata (Geoffroy, 1785);Notostira elongata (Geoffroy, 1785);;Hemiptera;Arthropoda;ES;Animalia;Mirinae;Stenodemini;https://taxref.mnhn.fr/taxref-web/taxa/237859;https://inpn.mnhn.fr/espece/cd_nom/237859;237859;237859;3
Lepidoptera;Animalia;Insecta;Erebidae;1821856;Arthropodes;Insectes;Lépidoptères;Euproctis chrysorrhoea (Linnaeus, 1758);Euproctis chrysorrhoea (Linnaeus, 1758);Cul-brun (Le);Lepidoptera;Arthropoda;ES;Animalia;Lymantriinae;Nygmiini;https://taxref.mnhn.fr/taxref-web/taxa/249033;https://inpn.mnhn.fr/espece/cd_nom/249033;249033;249033;3
Coleoptera;Animalia;Insecta;Curculionidae;5713220;Arthropodes;Insectes;Coléoptères;Philopedon plagiatum (Schaller, 1783);Philopedon plagiatum (Schaller, 1783);;Coleoptera;Arthropoda;ES;Animalia;Entiminae;Cneorhinini;https://taxref.mnhn.fr/taxref-web/taxa/13943;https://inpn.mnhn.fr/espece/cd_nom/13943;13943;13943;3
Coleoptera;Animalia;Insecta;Curculionidae;1195099;Arthropodes;Insectes;Coléoptères;Otiorhynchus atroapterus (De Geer, 1775);Otiorhynchus atroapterus (De Geer, 1775);;Coleoptera;Arthropoda;ES;Animalia;Entiminae;Otiorhynchini;https://taxref.mnhn.fr/taxref-web/taxa/13102;https://inpn.mnhn.fr/espece/cd_nom/13102;13102;13102;3
Lepidoptera;Animalia;Insecta;Geometridae;5144534;Arthropodes;Insectes;Lépidoptères;Geometra papilionaria (Linnaeus, 1758);Geometra papilionaria (Linnaeus, 1758);Grande Naïade (La), Papillonaire (La);Lepidoptera;Arthropoda;ES;Animalia;Geometrinae;Geometrini;https://taxref.mnhn.fr/taxref-web/taxa/248813;https://inpn.mnhn.fr/espece/cd_nom/248813;248813;248813;3
Coleoptera;Animalia;Insecta;Coccinellidae;5749533;Arthropodes;Insectes;Coléoptères;Scymnus haemorrhoidalis Herbst, 1797;Scymnus haemorrhoidalis Herbst, 1797;;Coleoptera;Arthropoda;ES;Animalia;Coccinellinae;Scymnini;https://taxref.mnhn.fr/taxref-web/taxa/239063;https://inpn.mnhn.fr/espece/cd_nom/239063;239063;239063;3
Lepidoptera;Animalia;Insecta;Noctuidae;1788522;Arthropodes;Insectes;Lépidoptères;Mamestra brassicae (Linnaeus, 1758);Mamestra brassicae (Linnaeus, 1758);Brassicaire (La);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Hadenini;https://taxref.mnhn.fr/taxref-web/taxa/249455;https://inpn.mnhn.fr/espece/cd_nom/249455;249455;249455;3
Hemiptera;Animalia;Insecta;Miridae;4488821;Arthropodes;Insectes;Hémiptères;Deraeocoris flavilinea (A. Costa, 1862);Deraeocoris flavilinea (A. Costa, 1862);;Hemiptera;Arthropoda;ES;Animalia;Deraeocorinae;Deraeocorini;https://taxref.mnhn.fr/taxref-web/taxa/237873;https://inpn.mnhn.fr/espece/cd_nom/237873;237873;237873;3
Diptera;Animalia;Insecta;Stratiomyidae;1501964;Arthropodes;Insectes;Diptères;Nemotelus Geoffroy, 1762;Nemotelus Geoffroy, 1762;;Diptera;Arthropoda;GN;Animalia;Nemotelinae;;https://taxref.mnhn.fr/taxref-web/taxa/195122;;195122;195122;8
Lepidoptera;Animalia;Insecta;Noctuidae;1769566;Arthropodes;Insectes;Lépidoptères;Cosmia trapezina (Linnaeus, 1758);Cosmia trapezina (Linnaeus, 1758);Trapèze (Le);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Xylenini;https://taxref.mnhn.fr/taxref-web/taxa/249534;https://inpn.mnhn.fr/espece/cd_nom/249534;249534;249534;3
Hemiptera;Animalia;Insecta;Tingidae;4488895;Arthropodes;Insectes;Hémiptères;Physatocheila dumetorum (Herrich-Schäffer, 1838);Physatocheila dumetorum (Herrich-Schäffer, 1838);;Hemiptera;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/237380;https://inpn.mnhn.fr/espece/cd_nom/237380;237380;237380;3
Diptera;Animalia;Insecta;Syrphidae;1541799;Arthropodes;Insectes;Diptères;Volucella pellucens (Linnaeus, 1758);Volucella pellucens (Linnaeus, 1758);Volucelle à ventre blanc en devant;Diptera;Arthropoda;ES;Animalia;Eristalinae;Volucellini;https://taxref.mnhn.fr/taxref-web/taxa/24593;https://inpn.mnhn.fr/espece/cd_nom/24593;24593;24593;3
Hemiptera;Animalia;Insecta;Oxycarenidae;4486258;Arthropodes;Insectes;Hémiptères;Metopoplax ditomoides (A. Costa, 1847);Metopoplax ditomoides (A. Costa, 1847);;Hemiptera;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/238196;https://inpn.mnhn.fr/espece/cd_nom/238196;238196;238196;3
Diptera;Animalia;Insecta;Syrphidae;1541116;Arthropodes;Insectes;Diptères;Eristalis pertinax (Scopoli, 1763);Eristalis pertinax (Scopoli, 1763);;Diptera;Arthropoda;ES;Animalia;Eristalinae;Eristalini;https://taxref.mnhn.fr/taxref-web/taxa/23712;https://inpn.mnhn.fr/espece/cd_nom/23712;23712;23712;3
Coleoptera;Animalia;Insecta;Staphylinidae;1039019;Arthropodes;Insectes;Coléoptères;Nicrophorus interruptus Stephens, 1830;Nicrophorus interruptus Stephens, 1830;;Coleoptera;Arthropoda;ES;Animalia;Silphinae;Nicrophorini;https://taxref.mnhn.fr/taxref-web/taxa/234581;https://inpn.mnhn.fr/espece/cd_nom/234581;234581;234581;3
Lepidoptera;Animalia;Insecta;Geometridae;5146559;Arthropodes;Insectes;Lépidoptères;Idaea aversata (Linnaeus, 1758);Idaea aversata (Linnaeus, 1758);Impolie (L'), l'Acidalie détournée (L');Lepidoptera;Arthropoda;ES;Animalia;Sterrhinae;Sterrhini;https://taxref.mnhn.fr/taxref-web/taxa/248477;https://inpn.mnhn.fr/espece/cd_nom/248477;248477;248477;3
Hemiptera;Animalia;Insecta;Miridae;2012021;Arthropodes;Insectes;Hémiptères;Capsus ater (Linnaeus, 1758);Capsus ater (Linnaeus, 1758);;Hemiptera;Arthropoda;ES;Animalia;Mirinae;Mirini;https://taxref.mnhn.fr/taxref-web/taxa/237820;https://inpn.mnhn.fr/espece/cd_nom/237820;237820;237820;3
Hymenoptera;Animalia;Insecta;Andrenidae;1357156;Arthropodes;Insectes;Hyménoptères;Andrena flavipes Panzer, 1799;Andrena flavipes Panzer, 1799;;Hymenoptera;Arthropoda;ES;Animalia;Andreninae;;https://taxref.mnhn.fr/taxref-web/taxa/239347;https://inpn.mnhn.fr/espece/cd_nom/239347;239347;239347;3
Lepidoptera;Animalia;Insecta;Geometridae;1954563;Arthropodes;Insectes;Lépidoptères;Pseudopanthera macularia (Linnaeus, 1758);Pseudopanthera macularia (Linnaeus, 1758);Panthère (La);Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Epionini;https://taxref.mnhn.fr/taxref-web/taxa/248935;https://inpn.mnhn.fr/espece/cd_nom/248935;248935;248935;3
Ixodida;Animalia;Arachnida;Ixodidae;2183432;Arthropodes;Arachnides;Acariens;Dermacentor reticulatus (Fabricius, 1794);Dermacentor reticulatus (Fabricius, 1794);;Ixodida;Arthropoda;ES;Animalia;Amblyomminae;;https://taxref.mnhn.fr/taxref-web/taxa/221428;https://inpn.mnhn.fr/espece/cd_nom/221428;221428;221428;3
Lepidoptera;Animalia;Insecta;Erebidae;;Arthropodes;Insectes;Lépidoptères;Spilarctia lutea (Hufnagel, 1766);Spilarctia lutea (Hufnagel, 1766);Ecaille Lièvre (L');Lepidoptera;Arthropoda;ES;Animalia;Arctiinae;Arctiini;https://taxref.mnhn.fr/taxref-web/taxa/459069;https://inpn.mnhn.fr/espece/cd_nom/459069;459069;459069;3
Trombidiformes;Animalia;Arachnida;Eriophyidae;6913497;Arthropodes;Arachnides;Acariens;Eriophyes tiliae (Pagenstecher, 1857);Eriophyes tiliae (Pagenstecher, 1857);Phytopte du tilleul;Trombidiformes;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/221383;https://inpn.mnhn.fr/espece/cd_nom/221383;221383;221383;3
Lepidoptera;Animalia;Insecta;Crambidae;1891326;Arthropodes;Insectes;Lépidoptères;Agrotera nemoralis (Scopoli, 1763);Agrotera nemoralis (Scopoli, 1763);Agrotère sylvatique;Lepidoptera;Arthropoda;ES;Animalia;Spilomelinae;Agroterini;https://taxref.mnhn.fr/taxref-web/taxa/248109;https://inpn.mnhn.fr/espece/cd_nom/248109;248109;248109;3
Lepidoptera;Animalia;Insecta;Noctuidae;1789783;Arthropodes;Insectes;Lépidoptères;Noctua janthina (Denis & Schiffermüller, 1775);Noctua janthina (Denis & Schiffermüller, 1775);Casque (Le);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Noctuini;https://taxref.mnhn.fr/taxref-web/taxa/249252;https://inpn.mnhn.fr/espece/cd_nom/249252;249252;249252;3
Lepidoptera;Animalia;Insecta;Incurvariidae;4522933;Arthropodes;Insectes;Lépidoptères;Incurvaria masculella (Denis & Schiffermüller, 1775);Incurvaria masculella (Denis & Schiffermüller, 1775);;Lepidoptera;Arthropoda;ES;Animalia;Incurvariinae;;https://taxref.mnhn.fr/taxref-web/taxa/245369;https://inpn.mnhn.fr/espece/cd_nom/245369;245369;245369;3
Diptera;Animalia;Insecta;Syrphidae;1542830;Arthropodes;Insectes;Diptères;Eristalinus aeneus (Scopoli, 1763);Eristalinus aeneus (Scopoli, 1763);;Diptera;Arthropoda;ES;Animalia;Eristalinae;Eristalini;https://taxref.mnhn.fr/taxref-web/taxa/23697;https://inpn.mnhn.fr/espece/cd_nom/23697;23697;23697;3
Coleoptera;Animalia;Insecta;Chrysomelidae;;Arthropodes;Insectes;Coléoptères;Pachybrachis Chevrolat, 1836;Pachybrachis Chevrolat, 1836;;Coleoptera;Arthropoda;SSGN;Animalia;Cryptocephalinae;Pachybrachini;https://taxref.mnhn.fr/taxref-web/taxa/796520;;796520;796520;3
Lepidoptera;Animalia;Insecta;Geometridae;1962636;Arthropodes;Insectes;Lépidoptères;Ligdia adustata (Denis & Schiffermüller, 1775);Ligdia adustata (Denis & Schiffermüller, 1775);Phalène du Fusain (La);Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Abraxini;https://taxref.mnhn.fr/taxref-web/taxa/248829;https://inpn.mnhn.fr/espece/cd_nom/248829;248829;248829;3
Hemiptera;Animalia;Insecta;Aradidae;4485566;Arthropodes;Insectes;Hémiptères;Aradus cinnamomeus Panzer, 1806;Aradus cinnamomeus Panzer, 1806;;Hemiptera;Arthropoda;ES;Animalia;Aradinae;;https://taxref.mnhn.fr/taxref-web/taxa/238041;https://inpn.mnhn.fr/espece/cd_nom/238041;238041;238041;3
Lepidoptera;Animalia;Insecta;Ypsolophidae;4525510;Arthropodes;Insectes;Lépidoptères;Ypsolopha parenthesella (Linnaeus, 1761);Ypsolopha parenthesella (Linnaeus, 1761);;Lepidoptera;Arthropoda;ES;Animalia;Ypsolophinae;;https://taxref.mnhn.fr/taxref-web/taxa/245809;https://inpn.mnhn.fr/espece/cd_nom/245809;245809;245809;3
Coleoptera;Animalia;Insecta;Staphylinidae;4448429;Arthropodes;Insectes;Coléoptères;Necrodes littoralis (Linnaeus, 1758);Necrodes littoralis (Linnaeus, 1758);Silphe des rivages;Coleoptera;Arthropoda;ES;Animalia;Silphinae;Silphini;https://taxref.mnhn.fr/taxref-web/taxa/10381;https://inpn.mnhn.fr/espece/cd_nom/10381;10381;10381;3
Coleoptera;Animalia;Insecta;Curculionidae;5021491;Arthropodes;Insectes;Coléoptères;Hylobius abietis (Linnaeus, 1758);Hylobius abietis (Linnaeus, 1758);Grand charançon du pin, Hylobe du pin;Coleoptera;Arthropoda;ES;Animalia;Molytinae;Hylobiini;https://taxref.mnhn.fr/taxref-web/taxa/14359;https://inpn.mnhn.fr/espece/cd_nom/14359;14359;14359;3
Coleoptera;Animalia;Insecta;Scarabaeidae;1050949;Arthropodes;Insectes;Coléoptères;Trichius Fabricius, 1775;Trichius Fabricius, 1775;;Coleoptera;Arthropoda;GN;Animalia;Cetoniinae;Trichiini;https://taxref.mnhn.fr/taxref-web/taxa/198592;;198592;198592;
Lepidoptera;Animalia;Insecta;Drepanidae;1952532;Arthropodes;Insectes;Lépidoptères;Ochropacha duplaris (Linnaeus, 1761);Ochropacha duplaris (Linnaeus, 1761);Double-Ligne (La), Bipoint (Le);Lepidoptera;Arthropoda;ES;Animalia;Thyatirinae;;https://taxref.mnhn.fr/taxref-web/taxa/248396;https://inpn.mnhn.fr/espece/cd_nom/248396;248396;248396;3
Lepidoptera;Animalia;Insecta;Geometridae;1986081;Arthropodes;Insectes;Lépidoptères;Xanthorhoe Hübner, 1825;Xanthorhoe Hübner, 1825;;Lepidoptera;Arthropoda;GN;Animalia;Larentiinae;Xanthorhoini;https://taxref.mnhn.fr/taxref-web/taxa/210611;;210611;210611;3
Lepidoptera;Animalia;Insecta;Tortricidae;1743856;Arthropodes;Insectes;Lépidoptères;Pandemis cinnamomeana (Treitschke, 1830);Pandemis cinnamomeana (Treitschke, 1830);;Lepidoptera;Arthropoda;ES;Animalia;Tortricinae;Archipini;https://taxref.mnhn.fr/taxref-web/taxa/247713;https://inpn.mnhn.fr/espece/cd_nom/247713;247713;247713;3
Hemiptera;Animalia;Insecta;Miridae;2011538;Arthropodes;Insectes;Hémiptères;Orthotylus flavosparsus (Sahlberg, 1841);Orthotylus flavosparsus (Sahlberg, 1841);;Hemiptera;Arthropoda;ES;Animalia;Orthotylinae;Orthotylini;https://taxref.mnhn.fr/taxref-web/taxa/51833;https://inpn.mnhn.fr/espece/cd_nom/51833;51833;51833;3
Hemiptera;Animalia;Insecta;Miridae;6096742;Arthropodes;Insectes;Hémiptères;Dicyphus globulifer (Fallén, 1829);Dicyphus globulifer (Fallén, 1829);;Hemiptera;Arthropoda;ES;Animalia;Bryocorinae;Dicyphini;https://taxref.mnhn.fr/taxref-web/taxa/237892;https://inpn.mnhn.fr/espece/cd_nom/237892;237892;237892;3
Diptera;Animalia;Insecta;Agromyzidae;1551394;Arthropodes;Insectes;Diptères;Phytomyza angelicae Kaltenbach, 1872;Phytomyza angelicae Kaltenbach, 1872;;Diptera;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/224211;https://inpn.mnhn.fr/espece/cd_nom/224211;224211;224211;3
Diptera;Animalia;Insecta;Tephritidae;5088031;Arthropodes;Insectes;Diptères;Urophora cardui (Linnaeus, 1758);Urophora cardui (Linnaeus, 1758);Mouche du chardon;Diptera;Arthropoda;ES;Animalia;Trypetinae;Myopitini;https://taxref.mnhn.fr/taxref-web/taxa/24113;https://inpn.mnhn.fr/espece/cd_nom/24113;24113;24113;3
Lepidoptera;Animalia;Insecta;Erebidae;1804071;Arthropodes;Insectes;Lépidoptères;Phragmatobia fuliginosa (Linnaeus, 1758);Phragmatobia fuliginosa (Linnaeus, 1758);Ecaille cramoisie (L');Lepidoptera;Arthropoda;ES;Animalia;Arctiinae;Arctiini;https://taxref.mnhn.fr/taxref-web/taxa/249074;https://inpn.mnhn.fr/espece/cd_nom/249074;249074;249074;3
Coleoptera;Animalia;Insecta;Coccinellidae;5749490;Arthropodes;Insectes;Coléoptères;Scymnus rubromaculatus (Goeze, 1777);Scymnus rubromaculatus (Goeze, 1777);;Coleoptera;Arthropoda;ES;Animalia;Coccinellinae;Scymnini;https://taxref.mnhn.fr/taxref-web/taxa/11118;https://inpn.mnhn.fr/espece/cd_nom/11118;11118;11118;3
Araneae;Animalia;Arachnida;Araneidae;7359;Arthropodes;Arachnides;Araignées;Araneidae Clerck, 1758;Araneidae Clerck, 1758;;Araneae;Arthropoda;FM;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/184354;;184354;184354;
Lepidoptera;Animalia;Insecta;Geometridae;5143947;Arthropodes;Insectes;Lépidoptères;Alsophila aescularia (Denis & Schiffermüller, 1775);Alsophila aescularia (Denis & Schiffermüller, 1775);Phalène du Marronnier (La), Alsophile printanière (L');Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Alsophilini;https://taxref.mnhn.fr/taxref-web/taxa/249017;https://inpn.mnhn.fr/espece/cd_nom/249017;249017;249017;3
Lepidoptera;Animalia;Insecta;Coleophoridae;5121032;Arthropodes;Insectes;Lépidoptères;Coleophora albidella (Denis & Schiffermüller, 1775);Coleophora albidella (Denis & Schiffermüller, 1775);;Lepidoptera;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/246339;https://inpn.mnhn.fr/espece/cd_nom/246339;246339;246339;3
Diptera;Animalia;Insecta;Conopidae;8078708;Arthropodes;Insectes;Diptères;Sicus ferrugineus (Linnaeus, 1761);Sicus ferrugineus (Linnaeus, 1761);;Diptera;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/23992;https://inpn.mnhn.fr/espece/cd_nom/23992;23992;23992;3
Coleoptera;Animalia;Insecta;Curculionidae;1184505;Arthropodes;Insectes;Coléoptères;Liophloeus tessulatus (O.F. Müller, 1776);Liophloeus tessulatus (O.F. Müller, 1776);Charançon damier;Coleoptera;Arthropoda;ES;Animalia;Entiminae;Polydrusini;https://taxref.mnhn.fr/taxref-web/taxa/328026;https://inpn.mnhn.fr/espece/cd_nom/328026;328026;328026;3
Araneae;Animalia;Arachnida;Lycosidae;2147273;Arthropodes;Arachnides;Araignées;Xerolycosa miniata (C.L. Koch, 1834);Xerolycosa miniata (C.L. Koch, 1834);;Araneae;Arthropoda;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/922;https://inpn.mnhn.fr/espece/cd_nom/922;922;922;3
Lepidoptera;Animalia;Insecta;Pyralidae;1875008;Arthropodes;Insectes;Lépidoptères;Phycita roborella (Denis & Schiffermüller, 1775);Phycita roborella (Denis & Schiffermüller, 1775);Phycide du rouvre;Lepidoptera;Arthropoda;ES;Animalia;Phycitinae;Phycitini;https://taxref.mnhn.fr/taxref-web/taxa/247991;https://inpn.mnhn.fr/espece/cd_nom/247991;247991;247991;3
Lepidoptera;Animalia;Insecta;Geometridae;5147681;Arthropodes;Insectes;Lépidoptères;Lycia hirtaria (Clerck, 1759);Lycia hirtaria (Clerck, 1759);Phalène hérissée (La);Lepidoptera;Arthropoda;ES;Animalia;Ennominae;Boarmiini;https://taxref.mnhn.fr/taxref-web/taxa/248854;https://inpn.mnhn.fr/espece/cd_nom/248854;248854;248854;3
Lepidoptera;Animalia;Insecta;Noctuidae;1761735;Arthropodes;Insectes;Lépidoptères;Mormo maura (Linnaeus, 1758);Mormo maura (Linnaeus, 1758);Maure;Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Dypterygiini;https://taxref.mnhn.fr/taxref-web/taxa/249517;https://inpn.mnhn.fr/espece/cd_nom/249517;249517;249517;3
Diptera;Animalia;Insecta;Tachinidae;6918;Arthropodes;Insectes;Diptères;Tachinidae Fleming, 1821;Tachinidae Fleming, 1821;;Diptera;Arthropoda;FM;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/184890;;184890;184890;
Lepidoptera;Animalia;Insecta;Erebidae;1798449;Arthropodes;Insectes;Lépidoptères;Scoliopteryx libatrix (Linnaeus, 1758);Scoliopteryx libatrix (Linnaeus, 1758);Découpure (La);Lepidoptera;Arthropoda;ES;Animalia;Scoliopteryginae;Scoliopterygini;https://taxref.mnhn.fr/taxref-web/taxa/249785;https://inpn.mnhn.fr/espece/cd_nom/249785;249785;249785;3
Lepidoptera;Animalia;Insecta;Geometridae;1986171;Arthropodes;Insectes;Lépidoptères;Xanthorhoe ferrugata (Clerck, 1759);Xanthorhoe ferrugata (Clerck, 1759);;Lepidoptera;Arthropoda;ES;Animalia;Larentiinae;Xanthorhoini;https://taxref.mnhn.fr/taxref-web/taxa/248789;https://inpn.mnhn.fr/espece/cd_nom/248789;248789;248789;3
Lepidoptera;Animalia;Insecta;Tortricidae;1740185;Arthropodes;Insectes;Lépidoptères;Acleris laterana (Fabricius, 1794);Acleris laterana (Fabricius, 1794);;Lepidoptera;Arthropoda;ES;Animalia;Tortricinae;Tortricini;https://taxref.mnhn.fr/taxref-web/taxa/247610;https://inpn.mnhn.fr/espece/cd_nom/247610;247610;247610;3
Lepidoptera;Animalia;Insecta;Noctuidae;1760104;Arthropodes;Insectes;Lépidoptères;Mesoligia furuncula (Denis & Schiffermüller, 1775);Mesoligia furuncula (Denis & Schiffermüller, 1775);Noctuelle furoncule (La);Lepidoptera;Arthropoda;ES;Animalia;Noctuinae;Apameini;https://taxref.mnhn.fr/taxref-web/taxa/249342;https://inpn.mnhn.fr/espece/cd_nom/249342;249342;249342;3
Lepidoptera;Animalia;Insecta;Notodontidae;5119245;Arthropodes;Insectes;Lépidoptères;Phalera bucephala (Linnaeus, 1758);Phalera bucephala (Linnaeus, 1758);Bucéphale (La), Lunule (La);Lepidoptera;Arthropoda;ES;Animalia;Phalerinae;;https://taxref.mnhn.fr/taxref-web/taxa/54548;https://inpn.mnhn.fr/espece/cd_nom/54548;54548;54548;3
Hymenoptera;Animalia;Insecta;Halictidae;1351481;Arthropodes;Insectes;Hyménoptères;Sphecodes puncticeps Thomson, 1870;Sphecodes puncticeps Thomson, 1870;;Hymenoptera;Arthropoda;ES;Animalia;Halictinae;Halictini;https://taxref.mnhn.fr/taxref-web/taxa/240131;https://inpn.mnhn.fr/espece/cd_nom/240131;240131;240131;3
Araneae;Animalia;Arachnida;Thomisidae;6163;Arthropodes;Arachnides;Araignées;Thomisidae Sundevall, 1833;Thomisidae Sundevall, 1833;Araignées-crabes, Araignées-crabes des fleurs et des rameaux;Araneae;Arthropoda;FM;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/184390;;184390;184390;
Diptera;Animalia;Insecta;Syrphidae;1537399;Arthropodes;Insectes;Diptères;Rhingia Scopoli, 1763;Rhingia Scopoli, 1763;;Diptera;Arthropoda;GN;Animalia;Eristalinae;Rhingiini;https://taxref.mnhn.fr/taxref-web/taxa/197132;;197132;197132;
Lepidoptera;Animalia;Insecta;Geometridae;5144805;Arthropodes;Insectes;Lépidoptères;Scopula ornata (Scopoli, 1763);Scopula ornata (Scopoli, 1763);Acidalie ornée (L');Lepidoptera;Arthropoda;ES;Animalia;Sterrhinae;Scopulini;https://taxref.mnhn.fr/taxref-web/taxa/248499;https://inpn.mnhn.fr/espece/cd_nom/248499;248499;248499;3
